SQL_ID,SQL_TEXT,ELAPSED_TIME,CPU_TIME,EXECUTIONS,DISK_READS,BUFFER_GETS,OPTIMIZER_COST
8yu1fmd6pm6y2,BEGIN :success := dbms_ha_alerts_prvt.check_ha_resources; END;,213528,194136,1,46,548,0
acmvv4fhdc9zh,"select obj#,type#,ctime,mtime,stime, status, dataobj#, flags, oid$, spare1, spare2, spare3, signature, spare7, spare8, spare9, nvl(dflcollid, 16382), creappid, creverid, modappid, modverid, crepatchid",213427,239902,1005,150,4037,3
f705bwx3q0ydq,"select count(*) from dba_autotask_window_clients c, (select window_name, max(log_date) max_log_date from dba_scheduler_window_log where operation = 'OPEN' group by window_name) wo, (select window_name",213269,98893,1,13,2746,47
586577qpbkgnk,select 1 from DBA_SCHEDULER_JOBS  where JOB_NAME like 'KWQICPOSTMSGDEL_1_%' and  JOB_ACTION = 'DBMS_AQADM_SYS.REMOVE_ORPHMSGS',213246,204481,1,4,5536,38
gpydvs5fzjrun,"select name,mgmt_method,num_plan_directives,sub_plan,(select count(*) from resource_plan_directive$ where obj# = :1 and status = :2 and is_subplan <> 0), (select count(*) from resource_plan_directive$",211496,208872,3,7,85,1
9sg6u8xys290z,"select count(*) num_enabled, sum(case optimizer_stats when 'ENABLED' then 1 else 0 end) stats_enabled from dba_autotask_window_clients where autotask_status = 'ENABLED'",199900,125036,1,1106,2720,28
5xvx5cj5ctbkm,"select con_dbid, open_time, parallel, version, name, instance_name,host_name, platform_name, cdb, edition, db_unique_name, database_role, dbid as cdb_root_dbid     from V$DATABASE, V$INSTANCE, (select",187860,184004,1,0,227,1
cnq31548hb8un,BEGIN    :c := dbms_spm_internal.auto_purge_sql_plan_baseline;  END;,187252,135563,1,154,1648,0
2vhhhddmn1q32,"select '""'||name||'"" '||decode(type#,1,decode(charsetform,2,'NVARCHAR2('||decode(bitand(property,8388608),8388608,decode(spare3,0,1,spare3)||')','BYTECOUNT=>'||decode(length,0,1,length)||')'),'VARCHAR",186539,184819,4,0,12,3
586577qpbkgnk,select 1 from DBA_SCHEDULER_JOBS  where JOB_NAME like 'KWQICPOSTMSGDEL_1_%' and  JOB_ACTION = 'DBMS_AQADM_SYS.REMOVE_ORPHMSGS',185233,178281,1,0,146,38
